City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sao Filipe,CV,2021-10-28 19:14:59,14.8961,-24.4956,78.94,78,100,10.92
68,East London,ZA,2021-10-28 19:15:00,-33.0153,27.9116,67.48,92,100,12.95
69,Mahebourg,MU,2021-10-28 19:15:00,-20.4081,57.7,75.25,83,20,9.22
70,Phan Thiet,VN,2021-10-28 19:15:01,10.9333,108.1,76.19,90,75,5.01
71,Lebu,CL,2021-10-28 19:15:02,-37.6167,-73.65,58.35,77,0,15.52
72,Sokode,TG,2021-10-28 19:15:03,8.9833,1.1333,77.88,77,60,4.68
73,Isoka,ZM,2021-10-28 19:15:03,-10.1606,32.6335,71.6,53,64,5.03
74,Bredasdorp,ZA,2021-10-28 19:15:04,-34.5322,20.0403,58.28,89,67,3.44
75,Chokurdakh,RU,2021-10-28 19:15:05,70.6333,147.9167,-9.29,96,90,4.09
76,Vaini,TO,2021-10-28 19:15:06,-21.2,-175.2,75.36,83,75,8.05
77,Beian,NO,2021-10-28 19:15:07,63.6559,9.5683,53.01,93,75,5.75
78,Plettenberg Bay,ZA,2021-10-28 19:15:08,-34.0527,23.3716,69.89,66,100,3.78
79,Nikolskoye,RU,2021-10-28 19:15:08,59.7035,30.7861,46.87,87,100,8.43
80,Shar,KZ,2021-10-28 19:15:09,49.5886,81.0453,36.1,88,6,5.01
81,Kaeo,NZ,2021-10-28 19:15:09,-35.1,173.7833,59.32,97,42,6.42
82,Puerto Ayora,EC,2021-10-28 19:15:10,-0.7393,-90.3518,78.76,88,24,5.01
83,Te Anau,NZ,2021-10-28 19:15:10,-45.4167,167.7167,48.49,87,16,0.29
84,Bethel,US,2021-10-28 19:15:10,41.3712,-73.414,59.29,67,40,1.01
85,Vila Franca Do Campo,PT,2021-10-28 19:15:11,37.7167,-25.4333,66.61,88,99,6.55
86,Kermanshah,IR,2021-10-28 19:15:12,34.3142,47.065,56.3,26,75,0.0
87,Flinders,AU,2021-10-28 19:16:12,-34.5833,150.8552,68.2,79,100,1.01
88,Tshikapa,CD,2021-10-28 19:16:12,-6.4167,20.8,71.98,97,100,3.58
89,Ponta Do Sol,PT,2021-10-28 19:16:13,32.6667,-17.1,70.72,72,100,7.07
90,Mar Del Plata,AR,2021-10-28 19:16:13,-38.0023,-57.5575,82.42,85,0,13.0
91,Qaanaaq,GL,2021-10-28 19:16:14,77.484,-69.3632,21.27,92,100,8.01
92,Caraballeda,VE,2021-10-28 19:16:14,10.6112,-66.8522,87.37,66,90,3.44
93,Huescar,ES,2021-10-28 19:16:14,37.811,-2.5412,56.26,59,99,2.3
94,Mayumba,GA,2021-10-28 19:16:15,-3.432,10.6554,76.71,88,42,6.51
95,Ust-Nera,RU,2021-10-28 19:16:15,64.5667,143.2,18.52,96,100,5.41
96,Dunedin,NZ,2021-10-28 19:16:16,-45.8742,170.5036,59.81,92,96,4.0
97,Almaznyy,RU,2021-10-28 19:16:16,48.0448,40.045,42.94,70,100,8.37
98,Coihaique,CL,2021-10-28 19:16:17,-45.5752,-72.0662,66.15,34,40,11.5
99,Luau,AO,2021-10-28 19:16:17,-10.7073,22.2247,65.07,92,100,2.37
100,Cidreira,BR,2021-10-28 19:16:17,-30.1811,-50.2056,71.58,74,0,16.2
101,Dorado,PR,2021-10-28 19:16:18,18.4588,-66.2677,89.49,67,40,9.22
102,Darhan,MN,2021-10-28 19:16:18,49.4867,105.9228,33.94,73,100,11.07
103,Lavrentiya,RU,2021-10-28 19:16:19,65.5833,-171.0,15.78,85,100,6.98
104,Kenai,US,2021-10-28 19:16:19,60.5544,-151.2583,32.09,93,90,16.11
105,Rundu,NA,2021-10-28 19:16:19,-17.9333,19.7667,71.91,61,18,4.05
106,Butaritari,KI,2021-10-28 19:16:20,3.0707,172.7902,81.72,70,11,11.21
107,Kirovsk,UA,2021-10-28 19:16:20,48.6375,38.6428,49.91,64,100,10.47
108,New Norfolk,AU,2021-10-28 19:16:21,-42.7826,147.0587,47.7,78,100,3.0
109,Berlevag,NO,2021-10-28 19:16:21,70.8578,29.0864,30.15,80,75,17.27
110,Troitsko-Pechorsk,RU,2021-10-28 19:16:21,62.7084,56.1964,21.33,80,100,16.82
111,Aykhal,RU,2021-10-28 19:16:22,66.0,111.5,6.78,94,100,20.33
112,Bonthe,SL,2021-10-28 19:16:22,7.5264,-12.505,79.38,81,99,6.42
113,Luderitz,NA,2021-10-28 19:16:23,-26.6481,15.1594,58.69,93,11,6.49
114,Carinhanha,BR,2021-10-28 19:16:23,-14.3047,-43.765,93.99,24,97,7.38
115,Tuktoyaktuk,CA,2021-10-28 19:16:23,69.4541,-133.0374,26.6,100,90,4.61
116,Shubarkuduk,KZ,2021-10-28 19:16:24,49.1447,56.4872,35.15,60,78,8.19
117,San Ignacio,BZ,2021-10-28 19:16:24,17.1561,-89.0714,95.14,55,75,6.91
118,Souillac,MU,2021-10-28 19:16:25,-20.5167,57.5167,75.36,83,20,9.22
119,Altay,CN,2021-10-28 19:16:25,47.8667,88.1167,39.13,58,98,5.46
120,Morondava,MG,2021-10-28 19:16:26,-20.2833,44.2833,79.07,42,4,14.05
121,Klembivka,UA,2021-10-28 19:16:26,48.3904,28.4109,48.74,81,14,4.85
122,Port Alfred,ZA,2021-10-28 19:16:26,-33.5906,26.891,67.46,96,100,0.2
123,Belyy Yar,RU,2021-10-28 19:16:27,53.6039,91.3903,13.89,92,0,0.0
124,Linda,US,2021-10-28 19:16:27,39.1277,-121.5508,78.67,77,20,6.91
125,College,US,2021-10-28 19:16:28,64.8569,-147.8028,22.28,92,90,4.61
126,Buraydah,SA,2021-10-28 19:16:28,26.326,43.975,82.85,16,90,8.52
127,Tual,ID,2021-10-28 19:16:28,-5.6667,132.75,83.03,74,98,4.5
128,Saskylakh,RU,2021-10-28 19:16:29,71.9167,114.0833,2.86,96,100,7.99
129,Veraval,IN,2021-10-28 19:16:29,20.9,70.3667,81.75,58,100,6.31
130,Tabas,IR,2021-10-28 19:16:30,33.5959,56.9244,60.94,33,0,3.2
131,Malkangiri,IN,2021-10-28 19:16:30,18.35,81.9,75.74,75,100,3.0
132,Talkha,EG,2021-10-28 19:17:31,31.0539,31.3779,74.25,71,100,8.86
133,Roebourne,AU,2021-10-28 19:17:31,-20.7833,117.1333,73.15,48,0,11.23
134,Bathsheba,BB,2021-10-28 19:17:32,13.2167,-59.5167,86.61,66,40,13.8
135,Toppenish,US,2021-10-28 19:17:32,46.3774,-120.3087,68.0,69,100,13.91
136,Lagoa,PT,2021-10-28 19:17:33,39.05,-27.9833,67.23,79,77,15.88
137,Coquimbo,CL,2021-10-28 19:17:33,-29.9533,-71.3436,60.53,77,75,14.97
138,Norman Wells,CA,2021-10-28 19:12:33,65.282,-126.8329,24.49,91,100,5.73
139,Azamgarh,IN,2021-10-28 19:17:34,26.06,83.1861,68.32,60,1,5.1
140,Porto Velho,BR,2021-10-28 19:17:34,-8.7619,-63.9039,73.45,88,90,2.3
141,Cotacachi,EC,2021-10-28 19:17:35,0.3,-78.2667,72.95,60,67,3.36
142,Fortuna,US,2021-10-28 19:17:35,40.5982,-124.1573,72.93,70,1,3.0
143,Sarangani,PH,2021-10-28 19:17:35,5.4033,125.4636,83.89,74,32,13.85
144,Constitucion,CL,2021-10-28 19:17:36,-35.3333,-72.4167,66.97,59,9,16.82
145,Bullhead City,US,2021-10-28 19:15:32,35.1478,-114.5683,83.28,24,1,28.77
146,Umea,SE,2021-10-28 19:17:36,63.8284,20.2597,43.92,88,100,5.32
147,Sistranda,NO,2021-10-28 19:17:37,63.7256,8.834,52.9,92,100,10.98
148,Poyarkovo,RU,2021-10-28 19:17:37,49.6,128.6833,36.0,76,5,6.8
149,Mehamn,NO,2021-10-28 19:17:37,71.0357,27.8492,32.18,93,90,17.27
150,Carnarvon,AU,2021-10-28 19:16:07,-24.8667,113.6333,64.47,59,0,18.41
151,Mishkino,RU,2021-10-28 19:17:38,55.3389,63.9175,36.57,74,100,16.28
152,Kousseri,CM,2021-10-28 19:17:39,12.0769,15.0306,87.76,18,8,5.75
153,Portree,GB,2021-10-28 19:17:39,57.4129,-6.1942,53.85,94,40,11.03
154,Steinbach,DE,2021-10-28 19:17:39,50.1667,8.5667,48.36,93,75,5.75
155,Faya,SA,2021-10-28 19:17:40,18.3851,42.4509,60.91,60,6,3.74
