City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lavrentiya,RU,65.5833,-171.0,12.94,82,6,13.6,clear sky
80,Argalasti,GR,39.2333,23.2167,54.41,67,98,7.02,overcast clouds
81,Chifeng,CN,42.2683,118.9636,37.51,70,68,0.29,broken clouds
82,Lichinga,MZ,-13.3128,35.2406,87.89,33,75,12.66,broken clouds
83,Gravdal,NO,68.1214,13.5031,49.68,61,100,8.05,overcast clouds
84,Ambovombe,MG,-25.1667,46.0833,73.99,83,75,8.63,moderate rain
85,Barrow,US,71.2906,-156.7887,24.82,80,90,23.02,light snow
86,Port Hawkesbury,CA,45.6169,-61.3485,52.59,92,90,11.99,overcast clouds
87,Itoman,JP,26.1247,127.6694,73.42,75,20,6.91,few clouds
88,Broome,US,42.2506,-75.833,53.83,89,90,1.01,moderate rain
89,Thompson,CA,55.7435,-97.8558,30.36,93,75,8.05,broken clouds
90,Faanui,PF,-16.4833,-151.75,78.24,67,100,14.9,overcast clouds
91,Saldanha,ZA,-33.0117,17.9442,69.85,78,95,11.32,overcast clouds
92,Farsund,NO,58.0948,6.8047,54.95,77,78,17.56,broken clouds
93,Coihaique,CL,-45.5752,-72.0662,55.35,38,0,9.22,clear sky
94,Busselton,AU,-33.65,115.3333,54.09,80,100,6.29,overcast clouds
95,Pacific Grove,US,36.6177,-121.9166,53.51,91,90,1.01,overcast clouds
96,Alofi,NU,-19.0595,-169.9187,73.29,88,97,5.75,overcast clouds
97,Turukhansk,RU,65.8167,87.9833,9.21,97,100,4.97,overcast clouds
98,Marsa Matruh,EG,31.3525,27.2453,76.96,43,64,4.76,broken clouds
99,Kapuskasing,CA,49.4169,-82.4331,33.89,100,90,3.44,mist
100,The Valley,AI,18.217,-63.0578,87.66,70,40,12.66,scattered clouds
101,Barabai,ID,-2.5833,115.3833,74.77,97,100,2.75,overcast clouds
102,Luena,AO,-11.7833,19.9167,64.58,94,75,17.27,light rain
103,Tamworth,GB,52.634,-1.6959,56.19,79,52,11.99,broken clouds
104,Necochea,AR,-38.5473,-58.7368,55.04,70,100,11.9,overcast clouds
105,Dikson,RU,73.5069,80.5464,6.73,93,100,10.58,overcast clouds
106,Jalu,LY,29.0331,21.5482,79.57,30,11,17.27,few clouds
107,Hovd,MN,48.0056,91.6419,37.29,49,99,10.27,overcast clouds
108,Bonga,ET,7.2833,36.2333,66.51,65,62,1.77,broken clouds
109,Kerema,PG,-7.9631,145.7785,78.44,89,79,3.69,broken clouds
110,Mukhen,RU,48.1,136.1,30.45,69,1,0.51,clear sky
111,Price,US,39.5994,-110.8107,43.86,75,1,5.75,clear sky
112,Sao Filipe,CV,14.8961,-24.4956,80.53,72,84,11.95,broken clouds
113,Katobu,ID,-4.9408,122.5276,76.46,91,100,3.13,overcast clouds
114,Grand Gaube,MU,-20.0064,57.6608,76.37,74,91,4.0,overcast clouds
115,Waipawa,NZ,-41.4122,175.5153,52.45,89,59,8.39,broken clouds
116,Hun,LY,29.1268,15.9477,81.7,23,46,11.59,scattered clouds
117,Provideniya,RU,64.3833,-173.3,13.08,80,90,7.96,overcast clouds
118,Port Alfred,ZA,-33.5906,26.891,71.29,75,56,21.59,broken clouds
119,Ambanja,MG,-13.6833,48.45,80.69,67,64,2.37,broken clouds
120,Mahebourg,MU,-20.4081,57.7,76.24,78,40,3.44,scattered clouds
121,Rawson,AR,-43.3002,-65.1023,51.75,54,32,11.36,scattered clouds
122,Vanavara,RU,60.34,102.2797,24.01,57,100,6.85,overcast clouds
123,Kapaa,US,22.0752,-159.319,71.58,78,1,6.91,clear sky
124,Sorland,NO,67.667,12.6934,49.86,76,90,17.27,overcast clouds
125,Ulladulla,AU,-35.35,150.4667,54.5,90,17,4.68,few clouds
126,East London,ZA,-33.0153,27.9116,72.54,73,20,16.11,few clouds
127,Leningradskiy,RU,69.3833,178.4167,0.81,94,100,9.82,overcast clouds
128,Nur,PL,52.6683,22.3221,57.78,55,1,9.04,clear sky
129,Klaksvik,FO,62.2266,-6.589,43.72,72,100,11.83,overcast clouds
130,Namtsy,RU,62.7161,129.6658,12.31,95,100,9.8,light snow
131,Buchanan,LR,5.8808,-10.0467,82.85,74,42,8.48,light rain
132,French Harbor,HN,16.35,-86.4333,82.4,74,20,4.61,few clouds
133,Ixtapa,MX,20.7,-105.2,76.23,85,3,2.15,clear sky
134,Port Blair,IN,11.6667,92.75,81.34,80,95,4.79,overcast clouds
135,Mathbaria,BD,22.2876,89.9593,71.96,73,35,6.29,scattered clouds
136,Bitung,ID,1.4451,125.1824,76.05,77,100,4.09,overcast clouds
137,Ust-Ilimsk,RU,58.0006,102.6619,28.11,68,100,4.94,overcast clouds
138,Sembakung,ID,3.8167,117.25,80.53,97,100,1.43,light rain
139,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,70,0,28.77,clear sky
140,Ponta Do Sol,PT,32.6667,-17.1,79.72,77,27,6.96,scattered clouds
141,La Ronge,CA,55.1001,-105.2842,28.65,80,90,9.22,overcast clouds
142,La Palma,US,33.8464,-118.0467,63.97,82,90,1.99,overcast clouds
143,Puerto Ayora,EC,-0.7393,-90.3518,69.76,80,89,9.13,overcast clouds
144,Khrebtovaya,RU,56.7032,104.2494,25.74,95,80,4.27,broken clouds
145,Carupano,VE,10.6678,-63.2585,83.43,65,96,6.64,overcast clouds
146,Tuatapere,NZ,-46.1333,167.6833,39.58,87,46,4.68,scattered clouds
147,Sur,OM,22.5667,59.5289,82.53,61,1,11.01,clear sky
