City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Matamoros,MX,25.5333,-103.25,74.19,18,29,2.15,scattered clouds
80,Ribeira Grande,PT,38.5167,-28.7,68.4,94,75,11.5,broken clouds
81,Paka,MY,4.6374,103.4368,79.36,86,93,6.06,overcast clouds
82,Kapaa,US,22.0752,-159.319,69.78,88,1,8.05,clear sky
83,La Ronge,CA,55.1001,-105.2842,29.28,75,67,10.65,broken clouds
84,Flinders,AU,-34.5833,150.8552,56.8,80,11,1.01,few clouds
85,Katrineholm,SE,58.9959,16.2072,49.84,92,0,5.17,clear sky
86,Nanortalik,GL,60.1432,-45.2371,34.61,73,36,14.56,scattered clouds
87,Wittmund,DE,53.5667,7.7833,58.01,86,75,11.5,broken clouds
88,Tigre,AR,-34.426,-58.5796,68.25,73,90,9.22,light rain
89,Mar Del Plata,AR,-38.0023,-57.5575,58.08,85,100,1.99,moderate rain
90,San Antonio,US,29.4241,-98.4936,75.33,68,1,8.05,clear sky
91,Pemangkat,ID,1.1667,108.9667,80.08,83,98,6.24,overcast clouds
92,Avarua,CK,-21.2078,-159.775,73.45,73,75,5.75,broken clouds
93,Sindor,RU,62.8629,51.8905,36.36,99,100,7.09,overcast clouds
94,Nalbari,IN,26.4456,91.4354,71.58,74,40,2.01,scattered clouds
95,Port Macquarie,AU,-31.4333,152.9167,51.76,76,49,3.87,scattered clouds
96,San Pedro,PH,14.35,121.0167,81.32,77,6,4.5,clear sky
97,Axim,GH,4.8699,-2.2405,82.36,77,98,10.71,light rain
98,Maputo,MZ,-25.9653,32.5892,73.22,78,0,5.01,clear sky
99,Road Town,VG,18.4167,-64.6167,86.09,66,40,8.05,scattered clouds
100,Corn Island,NI,12.1694,-83.0418,81.72,77,100,19.86,overcast clouds
101,Hilo,US,19.7297,-155.09,80.28,72,40,8.05,scattered clouds
102,Bambamarca,PE,-6.6833,-78.5333,69.57,69,68,5.68,light rain
103,Tuatapere,NZ,-46.1333,167.6833,39.63,85,40,5.01,scattered clouds
104,Dolores,AR,-36.3132,-57.6792,66.72,55,92,13.33,light rain
105,Dumas,US,35.8656,-101.9732,46.62,70,40,13.8,scattered clouds
106,Chokurdakh,RU,70.6333,147.9167,-11.97,100,100,5.73,overcast clouds
107,Acapulco,MX,16.8634,-99.8901,80.42,74,40,4.61,scattered clouds
108,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,81,20,4.0,volcanic ash
109,Gat,IL,31.61,34.7642,81.81,42,51,22.06,broken clouds
110,Ponta Do Sol,PT,32.6667,-17.1,77.72,79,33,6.8,scattered clouds
111,Mahebourg,MU,-20.4081,57.7,74.25,73,27,5.48,scattered clouds
112,Taltal,CL,-25.4,-70.4833,65.28,67,30,6.78,scattered clouds
113,Vestmanna,FO,62.1564,-7.1664,40.12,100,40,9.22,scattered clouds
114,Constitucion,CL,-35.3333,-72.4167,61.84,70,100,6.24,overcast clouds
115,Geraldton,AU,-28.7667,114.6,63.01,72,75,12.66,broken clouds
116,Klaksvik,FO,62.2266,-6.589,41.92,69,100,6.35,overcast clouds
117,Ardakan,IR,32.31,54.0175,70.05,29,8,2.77,clear sky
118,Voh,NC,-20.9667,164.7,67.5,83,0,3.51,clear sky
119,Mozhga,RU,56.4447,52.2276,44.65,90,98,11.43,overcast clouds
120,Leningradskiy,RU,69.3833,178.4167,0.41,93,100,8.72,overcast clouds
121,Komsomolskiy,UZ,40.4272,71.7189,49.42,47,100,1.01,overcast clouds
122,Longyearbyen,SJ,78.2186,15.6401,30.04,69,20,17.27,few clouds
123,Wewak,PG,-3.5534,143.6268,79.16,85,100,3.67,overcast clouds
124,Husavik,IS,66.0449,-17.3389,35.35,99,100,25.61,overcast clouds
125,Vorotynets,RU,56.0603,45.8633,46.45,71,35,11.81,scattered clouds
126,Labuhan,ID,-6.8844,112.2051,81.52,77,76,1.52,broken clouds
127,Valle De Allende,MX,26.9333,-105.4,69.85,34,5,4.18,clear sky
128,Krasnoselkup,RU,65.7,82.4667,7.45,95,100,12.5,overcast clouds
129,Rocha,UY,-34.4833,-54.3333,72.7,72,100,3.47,overcast clouds
130,College,US,64.8569,-147.8028,46.06,50,75,12.66,broken clouds
131,Bilma,NE,18.6853,12.9164,92.26,14,2,7.94,clear sky
132,Surt,LY,31.2089,16.5887,72.72,64,91,8.52,overcast clouds
133,Cape Town,ZA,-33.9258,18.4232,71.1,55,86,5.99,overcast clouds
134,Nampula,MZ,-15.1165,39.2666,85.24,42,8,16.11,clear sky
135,Ube,JP,33.9431,131.2511,59.22,74,39,5.68,scattered clouds
136,Pangkalanbuun,ID,-2.6833,111.6167,75.18,94,90,1.5,light rain
137,Ostrovnoy,RU,68.0531,39.5131,29.34,88,73,1.39,broken clouds
138,New Norfolk,AU,-42.7826,147.0587,55.92,59,100,7.0,overcast clouds
139,Egvekinot,RU,66.3167,-179.1667,-0.31,84,99,11.52,overcast clouds
140,Shelabolikha,RU,53.4131,82.6167,33.26,89,99,17.2,overcast clouds
141,San Lorenzo,PY,-25.3333,-57.5333,85.14,54,75,3.44,broken clouds
142,Conde,BR,-7.2597,-34.9075,85.46,58,40,14.97,scattered clouds
143,Tiksi,RU,71.6872,128.8694,13.44,84,100,12.33,overcast clouds
144,Lunenburg,CA,44.3835,-64.3155,59.0,97,100,27.42,overcast clouds
145,Sydney Mines,CA,46.2367,-60.2177,55.26,84,90,10.0,overcast clouds
146,Lorengau,PG,-2.0226,147.2712,80.76,80,98,8.75,moderate rain
147,Kaitangata,NZ,-46.2817,169.8464,46.99,68,70,9.91,broken clouds
148,Svetlogorsk,BY,52.6333,29.7333,44.53,63,0,7.81,clear sky
149,Buchanan,LR,5.8808,-10.0467,84.16,74,53,9.84,broken clouds
150,Baiyin,CN,36.5583,104.2081,45.61,46,31,4.68,scattered clouds
151,Umm Kaddadah,SD,13.6017,26.6876,93.27,16,8,9.33,clear sky
152,Castro,BR,-24.7911,-50.0119,61.57,93,100,7.72,overcast clouds
153,Salinopolis,BR,-0.6136,-47.3561,82.11,79,92,7.2,overcast clouds
154,Lasa,IT,46.6166,10.7002,52.68,98,100,4.05,overcast clouds
155,Kolokani,ML,13.5728,-8.0339,98.44,17,52,11.12,broken clouds
156,Ketchikan,US,55.3422,-131.6461,30.67,100,40,0.0,scattered clouds
157,Toora-Khem,RU,52.4675,96.11,27.09,83,100,1.99,overcast clouds
158,Lawton,US,34.6087,-98.3903,61.27,65,1,21.85,clear sky
159,Montepuez,MZ,-13.1256,38.9997,86.67,28,5,8.63,clear sky
160,Iquique,CL,-20.2208,-70.1431,66.24,63,2,6.67,clear sky
161,Isangel,VU,-19.55,169.2667,75.07,84,41,5.75,scattered clouds
162,Misratah,LY,32.3754,15.0925,73.83,54,71,5.48,broken clouds
163,Hasaki,JP,35.7333,140.8333,57.6,87,100,7.09,overcast clouds
164,Port Lincoln,AU,-34.7333,135.8667,58.23,75,1,10.65,clear sky
165,Sidney,AU,-33.8679,151.2073,56.35,84,36,1.01,scattered clouds
166,Airai,TL,-8.9266,125.4092,61.81,88,94,1.54,overcast clouds
167,Severo-Kurilsk,RU,50.6789,156.125,35.89,67,99,24.0,overcast clouds
168,Sistranda,NO,63.7256,8.834,50.9,80,100,15.55,overcast clouds
169,East London,ZA,-33.0153,27.9116,69.46,78,49,14.54,scattered clouds
170,Kysyl-Syr,RU,63.8986,122.7617,23.45,87,100,9.17,overcast clouds
171,Nemuro,JP,43.3236,145.575,50.77,78,73,11.39,broken clouds
172,Pevek,RU,69.7008,170.3133,-0.31,97,100,4.52,overcast clouds
173,Myitkyina,MM,25.3833,97.4,68.83,81,0,1.79,clear sky
174,Cabo San Lucas,MX,22.8909,-109.9124,84.06,70,6,4.41,clear sky
175,Kandete,TZ,-9.15,33.8,69.03,58,25,3.89,scattered clouds
176,Kathmandu,NP,27.7167,85.3167,62.82,77,75,3.44,broken clouds
177,Poum,NC,-20.2333,164.0167,74.44,68,0,16.51,clear sky
178,Mokhsogollokh,RU,61.4681,128.9203,20.53,96,100,3.91,light snow
179,Igunga,TZ,-4.2833,33.8833,82.69,39,44,10.71,scattered clouds
180,Kendari,ID,-3.945,122.4989,77.25,90,92,2.26,overcast clouds
181,Ahipara,NZ,-35.1667,173.1667,55.47,82,95,11.61,overcast clouds
182,Puerto Madryn,AR,-42.7692,-65.0385,54.88,49,28,12.55,scattered clouds
183,Dodge City,US,37.7528,-100.0171,48.63,68,1,13.0,clear sky
184,Zhenjiang,CN,32.2092,119.4342,61.81,76,95,4.83,light rain
185,West Bay,KY,19.3667,-81.4167,86.07,69,75,1.01,broken clouds
186,Port Elizabeth,ZA,-33.918,25.5701,79.11,88,0,11.5,clear sky
187,San Cristobal,VE,7.7669,-72.225,77.18,56,94,3.51,overcast clouds
188,Itoman,JP,26.1247,127.6694,73.42,78,20,3.44,few clouds
189,Luderitz,NA,-26.6481,15.1594,64.36,72,41,11.21,scattered clouds
190,Ilulissat,GL,69.2167,-51.1,33.82,86,90,19.57,moderate rain
191,Palatka,US,29.6486,-81.6376,67.03,51,0,5.93,clear sky
192,Altamira,BR,-3.2033,-52.2064,93.29,59,75,5.75,broken clouds
193,Provideniya,RU,64.3833,-173.3,11.79,81,76,6.53,broken clouds
194,Ilek,RU,51.5271,53.3831,45.0,84,42,9.57,scattered clouds
195,Bonavista,CA,48.6499,-53.1147,59.0,69,7,11.18,clear sky
196,Yumen,CN,40.2833,97.2,45.14,31,100,10.83,overcast clouds
197,Buin,CL,-33.7333,-70.75,80.92,24,100,7.63,overcast clouds
198,Upernavik,GL,72.7868,-56.1549,33.01,98,100,16.2,light snow
199,Vidim,RU,56.4088,103.1106,28.02,95,79,3.8,broken clouds
200,Vavozh,RU,56.7751,51.931,44.87,90,100,11.83,overcast clouds
201,Bubaque,GW,11.2833,-15.8333,82.63,73,83,7.92,broken clouds
202,San Carlos De Bariloche,AR,-41.1456,-71.3082,56.95,35,75,14.97,broken clouds
203,Antalaha,MG,-14.9003,50.2788,74.73,86,10,4.36,light rain
204,Zaozerne,UA,45.1582,33.2787,51.94,64,0,5.46,clear sky
205,Tevriz,RU,57.509,72.4042,18.1,94,96,1.19,overcast clouds
206,Ermoupolis,GR,37.4423,24.9425,65.28,77,40,20.71,scattered clouds
207,Burnie,AU,-41.0667,145.9167,50.92,74,27,9.57,scattered clouds
208,Chuy,UY,-33.6971,-53.4616,72.7,74,98,8.21,overcast clouds
209,Riberalta,BO,-10.9833,-66.1,93.4,52,75,9.22,broken clouds
210,Kununurra,AU,-15.7667,128.7333,76.98,94,37,1.14,scattered clouds
211,Cerinza,CO,5.9557,-72.9478,54.82,90,100,1.5,overcast clouds
212,Ambulu,ID,-8.345,113.6058,77.2,91,98,1.92,light rain
213,Cayenne,GF,4.9333,-52.3333,89.64,78,75,4.0,broken clouds
214,Arman,RU,59.7,150.1667,10.69,56,10,11.14,clear sky
215,Holguin,CU,20.8872,-76.2631,83.7,70,40,3.44,scattered clouds
216,Genhe,CN,50.7833,121.5167,23.09,51,11,2.75,few clouds
217,Khuchni,RU,41.9499,47.9485,49.82,92,83,3.27,broken clouds
218,Shakiso,ET,5.75,38.9167,65.16,56,74,3.49,broken clouds
219,Suntar,RU,62.1444,117.6319,18.43,78,58,5.93,broken clouds
220,Daru,PG,-9.0763,143.2092,80.01,87,94,12.17,overcast clouds
221,Dum Duma,IN,27.5667,95.5667,67.77,75,35,1.9,scattered clouds
222,Wagar,SD,16.1525,36.2032,94.23,19,48,8.79,scattered clouds
223,Meulaboh,ID,4.1363,96.1285,77.56,87,100,2.55,overcast clouds
224,Semibratovo,RU,57.3046,39.5369,44.46,81,89,10.87,overcast clouds
225,Hamilton,US,39.1834,-84.5333,58.59,81,75,1.99,broken clouds
226,Coquimbo,CL,-29.9533,-71.3436,61.34,76,100,5.97,overcast clouds
227,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,94,75,12.66,light rain
228,Tasiilaq,GL,65.6145,-37.6368,26.76,69,100,3.44,overcast clouds
229,Biu,NG,10.6129,12.1946,87.33,19,84,5.14,broken clouds
230,Yuli,NG,9.6989,10.2744,91.72,24,95,3.8,overcast clouds
231,Longyan,CN,25.1072,117.0225,65.37,97,100,1.5,light rain
232,Shaunavon,CA,49.6501,-108.4181,28.18,64,2,10.6,clear sky
233,Kodiak,US,57.79,-152.4072,45.91,87,90,16.11,light rain
234,Pisco,PE,-13.7,-76.2167,66.25,77,75,10.36,broken clouds
235,Ngaoundere,CM,7.3167,13.5833,75.88,66,38,5.19,scattered clouds
236,Nelson Bay,AU,-32.7167,152.15,57.99,92,97,8.59,overcast clouds
237,Caravelas,BR,-17.7125,-39.2481,81.25,66,80,9.35,broken clouds
238,Alihe,CN,50.5667,123.7167,27.82,46,26,2.08,scattered clouds
239,Mount Gambier,AU,-37.8333,140.7667,40.91,100,10,0.0,fog
240,Namie,JP,37.4833,141.0,49.77,83,31,4.34,scattered clouds
241,Imeni Babushkina,RU,59.7573,43.1285,42.04,95,90,6.02,overcast clouds
242,Te Anau,NZ,-45.4167,167.7167,36.88,91,56,0.49,broken clouds
243,Vostok,RU,46.4856,135.8833,28.33,94,84,0.45,broken clouds
244,Aksha,RU,50.2814,113.2867,27.7,71,16,2.21,few clouds
245,Carnarvon,AU,-24.8667,113.6333,68.07,73,90,17.27,overcast clouds
246,Mareeba,AU,-17.0,145.4333,74.12,93,85,3.53,overcast clouds
247,Masterton,NZ,-40.9597,175.6575,53.78,95,62,1.72,broken clouds
248,Brae,GB,60.3964,-1.353,49.91,87,100,15.95,overcast clouds
249,Suriapet,IN,17.15,79.6167,75.79,76,96,5.57,overcast clouds
250,Coihaique,CL,-45.5752,-72.0662,64.35,27,0,12.66,clear sky
251,Narsaq,GL,60.9167,-46.05,30.42,67,45,3.87,scattered clouds
252,Sibu,MY,2.3,111.8167,79.11,94,40,1.14,scattered clouds
253,Singkang,MY,2.1006,102.7994,76.89,94,95,1.9,overcast clouds
254,Srednekolymsk,RU,67.45,153.6833,-1.93,98,99,6.73,overcast clouds
255,Lagoa,PT,39.05,-27.9833,69.31,87,99,13.22,overcast clouds
256,Korsakov,RU,46.6328,142.7813,37.24,84,93,13.09,overcast clouds
257,Skjervoy,NO,70.0311,20.9714,39.38,75,63,23.47,broken clouds
258,Iqaluit,CA,63.7506,-68.5145,37.13,69,75,10.0,broken clouds
259,Dunedin,NZ,-45.8742,170.5036,47.8,64,80,1.99,broken clouds
260,Half Moon Bay,US,37.4636,-122.4286,59.18,85,90,5.75,overcast clouds
261,Bac Lieu,VN,9.285,105.7244,80.67,81,100,9.93,overcast clouds
262,Niamey,NE,13.5137,2.1098,100.8,8,99,15.1,overcast clouds
263,Teahupoo,PF,-17.8333,-149.2667,67.96,78,96,17.54,overcast clouds
264,Ulaangom,MN,49.9811,92.0667,33.62,76,100,2.98,light snow
265,Olafsvik,IS,64.8945,-23.7142,36.18,68,13,18.77,few clouds
266,Itarema,BR,-2.9248,-39.9167,87.04,60,70,16.93,broken clouds
267,Hauzenberg,DE,48.65,13.6333,49.86,88,12,3.51,few clouds
268,Zavodoukovsk,RU,56.5042,66.5515,28.8,79,100,7.31,overcast clouds
269,Esteli,NI,13.0919,-86.3538,72.7,83,92,2.33,overcast clouds
270,Morro Bay,US,35.3658,-120.8499,60.75,96,6,3.0,clear sky
271,Taoudenni,ML,22.6783,-3.9836,95.22,13,0,11.83,clear sky
272,Erdenet,MN,49.0333,104.0833,29.39,63,94,4.9,overcast clouds
273,Nahariyya,IL,33.0059,35.0941,78.71,53,78,5.01,broken clouds
274,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,82,100,12.68,overcast clouds
275,Hami,CN,42.8,93.45,51.12,42,32,4.88,scattered clouds
276,Valdepenas,ES,38.7621,-3.3848,66.97,81,99,20.62,overcast clouds
277,Maldonado,UY,-34.6667,-54.9167,72.79,63,74,6.31,broken clouds
278,Verkhnevilyuysk,RU,63.4453,120.3167,17.67,83,98,7.83,overcast clouds
